Wavelength (nm),Absorbance
742.0,0.005
742.5,0.006
743.0,0.006
743.5,0.006
744.0,0.005
744.5,0.005
745.0,0.005
745.5,0.005
746.0,0.006
746.5,0.006
747.0,0.006
747.5,0.006
748.0,0.006
748.5,0.005
749.0,0.005
749.5,0.005
750.0,0.005
750.5,0.005
751.0,0.005
751.5,0.005
752.0,0.005
752.5,0.005
753.0,0.006
753.5,0.006
754.0,0.006
754.5,0.005
755.0,0.005
755.5,0.005
756.0,0.005
756.5,0.005
757.0,0.005
757.5,0.005
758.0,0.005
758.5,0.005
759.0,0.005
759.5,0.005
760.0,0.005
760.5,0.005
761.0,0.005
761.5,0.005
762.0,0.005
762.5,0.005
763.0,0.005
763.5,0.005
764.0,0.005
764.5,0.005
765.0,0.005
765.5,0.005
766.0,0.005
766.5,0.005
767.0,0.005
767.5,0.005
768.0,0.005
768.5,0.005
769.0,0.005
769.5,0.005
770.0,0.005
770.5,0.005
771.0,0.005
771.5,0.005
772.0,0.005
772.5,0.005
773.0,0.005
773.5,0.005
774.0,0.005
774.5,0.005
775.0,0.005
775.5,0.005
776.0,0.005
776.5,0.005
777.0,0.005
777.5,0.005
778.0,0.005
778.5,0.005
779.0,0.005
779.5,0.005
780.0,0.005
780.5,0.005
781.0,0.005
781.5,0.005
782.0,0.005
782.5,0.005
783.0,0.005
783.5,0.005
784.0,0.005
784.5,0.005
785.0,0.005
785.5,0.005
786.0,0.005
786.5,0.005
787.0,0.005
787.5,0.005
788.0,0.005
788.5,0.005
789.0,0.005
789.5,0.005
790.0,0.005
790.5,0.005
791.0,0.005
791.5,0.005
792.0,0.005
792.5,0.005
793.0,0.005
793.5,0.005
794.0,0.005
794.5,0.005
795.0,0.005
795.5,0.005
796.0,0.005
796.5,0.005
797.0,0.005
797.5,0.005
798.0,0.005
798.5,0.005
799.0,0.005
799.5,0.005
800.0,0.005
800.5,0.005
801.0,0.005
801.5,0.005
802.0,0.005
802.5,0.005
803.0,0.005
803.5,0.005
804.0,0.005
804.5,0.005
805.0,0.005
805.5,0.005
806.0,0.005
806.5,0.005
807.0,0.005
807.5,0.005
808.0,0.005
808.5,0.005
809.0,0.005
809.5,0.005
810.0,0.005
810.5,0.005
811.0,0.005
811.5,0.005
812.0,0.005
812.5,0.005
813.0,0.005
813.5,0.005
814.0,0.005
814.5,0.005
815.0,0.005
815.5,0.005
816.0,0.005
816.5,0.005
817.0,0.005
